Volume 21   Number  16,"",73rd Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,2,0,***.*,5,3,66.7,-37.5,66.7,-66.7 
Rape,0,1,-100.0,2,2,0.0,5,11,-54.5,-54.5,-28.6,-85.3 
Robbery,5,7,-28.6,18,28,-35.7,117,120,-2.5,-25.9,-27.8,-83.3 
Fel. Assault,15,11,36.4,49,44,11.4,172,161,6.8,1.2,23.7,-42.3 
Burglary,4,4,0.0,15,16,-6.2,76,66,15.2,-31.5,-20.0,-71.1 
Gr. Larceny,4,7,-42.9,21,23,-8.7,105,106,-0.9,-23.9,-13.2,-55.5 
G.L.A.,2,1,100.0,7,7,0.0,28,30,-6.7,-50.9,-24.3,-85.0 
TOTAL,30,31,-3.23,114,120,-5.00,508,497,2.21,-22.21,-9.93,-70.69 
Transit,2,0,***.*,7,3,133.3,20,13,53.8,-33.3,-9.1,***.* 
Housing,4,1,300.0,20,20,0.0,108,86,25.6,44.0,45.9,***.* 
Petit Larceny,14,12,16.7,67,65,3.1,272,273,-0.4,-24.4,10.1,***.* 
Misd. Assault,16,16,0.0,79,98,-19.4,313,356,-12.1,-6.0,-14.0,***.* 
Misd. Sex Crimes,1,2,-50.0,2,2,0.0,9,21,-57.1,-72.7,-50.0,***.* 
Shooting Vic.,3,3,0.0,7,4,75.0,26,17,52.9,62.5,100.0,-68.7 
Shooting Inc.,2,3,-33.3,6,4,50.0,24,17,41.2,50.0,100.0,-69.6
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,60,74,26,26,15,-42.3,-42.3,-79.7,-75.0,Murder 
Rape,113,88,74,54,42,-22.2,-43.2,-52.3,-62.8,Rape 
Robbery,"2,914","2,252",879,625,470,-24.8,-46.5,-79.1,-83.9,Robbery 
Fel. Assault,"1,519","1,143",816,665,680,2.3,-16.7,-40.5,-55.2,Fel. Assault 
Burglary,"1,313",789,501,522,291,-44.3,-41.9,-63.1,-77.8,Burglary 
Gr. Larceny,"1,293",949,418,409,465,13.7,11.2,-51.0,-64.0,Gr. Larceny 
G.L.A.,"1,031",713,309,296,131,-55.7,-57.6,-81.6,-87.3,G.L.A. 
TOTAL,"8,243","6,008","3,023","2,597","2,094",-19.37,-30.73,-65.15,-74.60,TOTAL
