Volume 21   Number  16,"",102nd Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,1,1,0.0,1,1,0.0,1,5,-80.0,0.0,0.0,-75.0 
Rape,0,0,***.*,1,3,-66.7,8,8,0.0,0.0,60.0,-20.0 
Robbery,2,4,-50.0,18,16,12.5,76,74,2.7,1.3,28.8,-78.8 
Fel. Assault,6,9,-33.3,17,22,-22.7,70,87,-19.5,14.8,32.1,-24.7 
Burglary,3,5,-40.0,27,25,8.0,94,85,10.6,20.5,8.0,-76.3 
Gr. Larceny,4,9,-55.6,35,37,-5.4,174,115,51.3,62.6,51.3,13.7 
G.L.A.,6,3,100.0,21,17,23.5,71,55,29.1,26.8,-10.1,-93.5 
TOTAL,22,31,-29.03,120,121,-0.83,494,429,15.15,27.98,23.81,-76.58 
Transit,0,0,***.*,1,0,***.*,11,4,175.0,57.1,120.0,***.* 
Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Petit Larceny,30,18,66.7,76,63,20.6,308,247,24.7,28.3,13.2,***.* 
Misd. Assault,18,16,12.5,45,43,4.7,169,151,11.9,-11.5,-4.0,***.* 
Misd. Sex Crimes,1,0,***.*,2,1,100.0,10,3,233.3,42.9,25.0,***.* 
Shooting Vic.,1,0,***.*,2,1,100.0,3,4,-25.0,50.0,50.0,-72.7 
Shooting Inc.,1,0,***.*,2,1,100.0,3,4,-25.0,50.0,50.0,-66.7
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,6,12,3,2,7,250.0,133.3,-41.7,16.7,Murder 
Rape,29,34,23,21,24,14.3,4.3,-29.4,-17.2,Rape 
Robbery,"1,067","1,238",672,459,311,-32.2,-53.7,-74.9,-70.9,Robbery 
Fel. Assault,345,362,440,309,327,5.8,-25.7,-9.7,-5.2,Fel. Assault 
Burglary,"1,847","1,503",965,622,288,-53.7,-70.2,-80.8,-84.4,Burglary 
Gr. Larceny,721,583,538,378,490,29.6,-8.9,-16.0,-32.0,Gr. Larceny 
G.L.A.,"4,145","3,495","1,303",803,252,-68.6,-80.7,-92.8,-93.9,G.L.A. 
TOTAL,"8,160","7,227","3,944","2,594","1,699",-34.50,-56.92,-76.49,-79.18,TOTAL
