Volume 21   Number  16,"",6th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,0,***.*,-100.0,***.*,***.* 
Rape,0,0,***.*,1,0,***.*,4,2,100.0,33.3,33.3,-20.0 
Robbery,3,2,50.0,7,9,-22.2,28,31,-9.7,-41.7,-15.2,-89.2 
Fel. Assault,1,0,***.*,6,13,-53.8,25,51,-51.0,-3.8,-19.4,-63.2 
Burglary,2,2,0.0,8,4,100.0,58,30,93.3,87.1,11.5,-73.9 
Gr. Larceny,19,21,-9.5,72,93,-22.6,294,395,-25.6,-3.0,0.3,-55.9 
G.L.A.,1,0,***.*,4,2,100.0,13,9,44.4,-7.1,62.5,-94.5 
TOTAL,26,25,4.00,98,121,-19.01,422,518,-18.53,-0.94,0.48,-71.08 
Transit,0,3,-100.0,1,5,-80.0,13,16,-18.8,44.4,-7.1,***.* 
Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Petit Larceny,18,32,-43.8,94,112,-16.1,361,397,-9.1,-9.8,-15.9,***.* 
Misd. Assault,11,6,83.3,26,25,4.0,77,80,-3.8,-28.0,11.6,***.* 
Misd. Sex Crimes,0,1,-100.0,1,4,-75.0,3,11,-72.7,-70.0,-62.5,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,-100.0,-100.0 
Shooting Inc.,0,0,***.*,0,0,***.*,0,0,***.*,***.*,-100.0,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,7,1,4,1,2,100.0,-50.0,100.0,-71.4,Murder 
Rape,10,12,6,8,8,0.0,33.3,-33.3,-20.0,Rape 
Robbery,"1,433",861,446,290,140,-51.7,-68.6,-83.7,-90.2,Robbery 
Fel. Assault,279,307,221,140,135,-3.6,-38.9,-56.0,-51.6,Fel. Assault 
Burglary,"1,182",810,380,294,132,-55.1,-65.3,-83.7,-88.8,Burglary 
Gr. Larceny,"3,835","2,574","1,622","1,222","1,253",2.5,-22.7,-51.3,-67.3,Gr. Larceny 
G.L.A.,"1,092",773,267,165,33,-80.0,-87.6,-95.7,-97.0,G.L.A. 
TOTAL,"7,838","5,338","2,946","2,120","1,703",-19.67,-42.19,-68.10,-78.27,TOTAL
