Volume 21   Number  16,"",20th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,1,-100.0,***.*,-100.0,-100.0 
Rape,0,0,***.*,0,1,-100.0,1,4,-75.0,-75.0,***.*,-87.5 
Robbery,4,1,300.0,8,6,33.3,23,21,9.5,4.5,-14.8,-86.7 
Fel. Assault,0,0,***.*,2,3,-33.3,11,15,-26.7,37.5,-21.4,-59.3 
Burglary,1,1,0.0,3,8,-62.5,33,25,32.0,26.9,26.9,-86.1 
Gr. Larceny,10,10,0.0,45,37,21.6,204,195,4.6,10.3,-15.0,-66.1 
G.L.A.,1,2,-50.0,3,2,50.0,10,2,400.0,233.3,25.0,-97.2 
TOTAL,16,14,14.29,61,57,7.02,282,263,7.22,13.71,-10.76,-80.00 
Transit,0,0,***.*,0,1,-100.0,2,8,-75.0,-66.7,-60.0,***.* 
Housing,1,0,***.*,2,1,100.0,5,6,-16.7,-44.4,-16.7,***.* 
Petit Larceny,21,15,40.0,78,72,8.3,312,302,3.3,3.3,22.4,***.* 
Misd. Assault,4,6,-33.3,26,22,18.2,79,62,27.4,29.5,5.3,***.* 
Misd. Sex Crimes,0,0,***.*,3,0,***.*,8,10,-20.0,14.3,33.3,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,0,1,-100.0,***.*,-100.0,-100.0 
Shooting Inc.,0,0,***.*,0,0,***.*,0,1,-100.0,***.*,-100.0,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,3,1,3,1,2,100.0,-33.3,100.0,-33.3,Murder 
Rape,13,20,17,7,10,42.9,-41.2,-50.0,-23.1,Rape 
Robbery,978,610,283,174,81,-53.4,-71.4,-86.7,-91.7,Robbery 
Fel. Assault,129,99,95,112,57,-49.1,-40.0,-42.4,-55.8,Fel. Assault 
Burglary,"1,305",921,324,162,85,-47.5,-73.8,-90.8,-93.5,Burglary 
Gr. Larceny,"2,235","1,798",813,877,712,-18.8,-12.4,-60.4,-68.1,Gr. Larceny 
G.L.A.,"1,679","1,153",393,160,22,-86.2,-94.4,-98.1,-98.7,G.L.A. 
TOTAL,"6,342","4,602","1,928","1,493",969,-35.10,-49.74,-78.94,-84.72,TOTAL
