Volume 21   Number  16,"",104th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,2,0,***.*,3,0,***.*,***.*,200.0,-57.1 
Rape,0,0,***.*,1,3,-66.7,6,7,-14.3,0.0,20.0,-25.0 
Robbery,1,1,0.0,8,7,14.3,54,55,-1.8,-35.7,-22.9,-82.1 
Fel. Assault,5,6,-16.7,17,21,-19.0,55,76,-27.6,-19.1,5.8,-26.7 
Burglary,7,3,133.3,22,20,10.0,96,105,-8.6,-1.0,-30.4,-83.9 
Gr. Larceny,11,6,83.3,42,35,20.0,159,137,16.1,13.6,17.8,-6.5 
G.L.A.,3,2,50.0,17,12,41.7,57,36,58.3,1.8,-40.0,-94.9 
TOTAL,27,18,50.00,109,98,11.22,430,416,3.37,-4.66,-13.31,-81.18 
Transit,0,0,***.*,1,1,0.0,5,5,0.0,-28.6,***.*,***.* 
Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Petit Larceny,24,7,242.9,96,63,52.4,345,302,14.2,18.2,2.1,***.* 
Misd. Assault,9,11,-18.2,46,32,43.8,176,141,24.8,-15.4,-4.3,***.* 
Misd. Sex Crimes,1,1,0.0,2,1,100.0,6,6,0.0,-25.0,-53.8,***.* 
Shooting Vic.,1,0,***.*,3,1,200.0,3,1,200.0,200.0,200.0,-50.0 
Shooting Inc.,1,0,***.*,2,1,100.0,2,1,100.0,100.0,100.0,-66.7
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,11,19,7,5,3,-40.0,-57.1,-84.2,-72.7,Murder 
Rape,21,21,24,15,15,0.0,-37.5,-28.6,-28.6,Rape 
Robbery,"1,307","1,027",490,359,256,-28.7,-47.8,-75.1,-80.4,Robbery 
Fel. Assault,279,305,261,262,241,-8.0,-7.7,-21.0,-13.6,Fel. Assault 
Burglary,"2,562","1,955","1,024",790,339,-57.1,-66.9,-82.7,-86.8,Burglary 
Gr. Larceny,884,678,485,551,572,3.8,17.9,-15.6,-35.3,Gr. Larceny 
G.L.A.,"4,443","3,418","1,374",892,181,-79.7,-86.8,-94.7,-95.9,G.L.A. 
TOTAL,"9,507","7,423","3,665","2,874","1,607",-44.08,-56.15,-78.35,-83.10,TOTAL
