Volume 21   Number  16,"",108th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,-100.0 
Rape,0,0,***.*,0,1,-100.0,4,7,-42.9,-33.3,100.0,100.0 
Robbery,2,2,0.0,9,8,12.5,53,44,20.5,0.0,29.3,-84.6 
Fel. Assault,1,1,0.0,7,7,0.0,32,36,-11.1,-15.8,28.0,-53.6 
Burglary,1,3,-66.7,12,16,-25.0,65,53,22.6,-31.6,-18.8,-84.8 
Gr. Larceny,9,8,12.5,48,36,33.3,184,172,7.0,32.4,7.6,-20.7 
G.L.A.,3,4,-25.0,10,16,-37.5,30,37,-18.9,-30.2,-31.8,-94.8 
TOTAL,16,18,-11.11,86,84,2.38,368,349,5.44,-1.60,1.38,-77.75 
Transit,0,0,***.*,6,6,0.0,21,29,-27.6,23.5,110.0,***.* 
Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Petit Larceny,14,21,-33.3,72,69,4.3,243,276,-12.0,-9.3,-3.6,***.* 
Misd. Assault,10,14,-28.6,37,38,-2.6,125,130,-3.8,25.0,-10.7,***.* 
Misd. Sex Crimes,0,1,-100.0,1,4,-75.0,7,23,-69.6,-61.1,-46.2,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,0,0,***.*,-100.0,***.*,-100.0 
Shooting Inc.,0,0,***.*,0,0,***.*,0,0,***.*,-100.0,***.*,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,16,10,5,3,4,33.3,-20.0,-60.0,-75.0,Murder 
Rape,22,12,24,18,15,-16.7,-37.5,25.0,-31.8,Rape 
Robbery,"1,372","1,026",464,313,160,-48.9,-65.5,-84.4,-88.3,Robbery 
Fel. Assault,290,317,248,147,171,16.3,-31.0,-46.1,-41.0,Fel. Assault 
Burglary,"2,062","1,563",971,564,244,-56.7,-74.9,-84.4,-88.2,Burglary 
Gr. Larceny,"1,150",914,605,570,572,0.4,-5.5,-37.4,-50.3,Gr. Larceny 
G.L.A.,"2,945","2,123",942,704,166,-76.4,-82.4,-92.2,-94.4,G.L.A. 
TOTAL,"7,857","5,965","3,259","2,319","1,332",-42.56,-59.13,-77.67,-83.05,TOTAL
