Volume 21   Number  16,"",61st Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,1,-100.0,2,2,0.0,100.0,***.*,***.* 
Rape,0,1,-100.0,2,2,0.0,4,4,0.0,100.0,0.0,-33.3 
Robbery,7,9,-22.2,17,24,-29.2,52,62,-16.1,-24.6,-5.5,-83.4 
Fel. Assault,0,4,-100.0,13,9,44.4,55,41,34.1,12.2,14.6,-39.6 
Burglary,4,12,-66.7,17,37,-54.1,98,150,-34.7,18.1,7.7,-86.2 
Gr. Larceny,13,14,-7.1,45,42,7.1,215,178,20.8,-1.8,55.8,-50.7 
G.L.A.,3,3,0.0,12,11,9.1,38,30,26.7,8.6,-28.3,-96.6 
TOTAL,27,43,-37.21,106,126,-15.87,464,467,-0.64,1.31,19.28,-82.62 
Transit,0,1,-100.0,1,4,-75.0,4,7,-42.9,-33.3,100.0,***.* 
Housing,0,1,-100.0,1,4,-75.0,10,18,-44.4,-23.1,-16.7,***.* 
Petit Larceny,21,27,-22.2,70,79,-11.4,334,290,15.2,24.2,-22.7,***.* 
Misd. Assault,8,9,-11.1,25,32,-21.9,108,118,-8.5,-22.3,-28.9,***.* 
Misd. Sex Crimes,0,2,-100.0,1,5,-80.0,5,15,-66.7,-50.0,-54.5,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,2,0,***.*,-66.7,***.*,-85.7 
Shooting Inc.,0,0,***.*,0,0,***.*,2,0,***.*,0.0,***.*,-81.8
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,11,8,7,5,2,-60.0,-71.4,-75.0,-81.8,Murder 
Rape,25,23,30,13,19,46.2,-36.7,-17.4,-24.0,Rape 
Robbery,"1,204",893,492,365,248,-32.1,-49.6,-72.2,-79.4,Robbery 
Fel. Assault,375,314,272,178,199,11.8,-26.8,-36.6,-46.9,Fel. Assault 
Burglary,"2,544","2,146","1,086",728,346,-52.5,-68.1,-83.9,-86.4,Burglary 
Gr. Larceny,"1,480","1,463",912,671,726,8.2,-20.4,-50.4,-50.9,Gr. Larceny 
G.L.A.,"4,206","3,298","1,281",636,126,-80.2,-90.2,-96.2,-97.0,G.L.A. 
TOTAL,"9,845","8,145","4,080","2,596","1,666",-35.82,-59.17,-79.55,-83.08,TOTAL
