Volume 21   Number  16,"",62nd Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,0,***.*,0,1,-100.0,***.*,-100.0,-100.0 
Rape,0,1,-100.0,0,2,-100.0,4,8,-50.0,100.0,300.0,-55.6 
Robbery,1,8,-87.5,18,25,-28.0,58,68,-14.7,7.4,3.6,-78.9 
Fel. Assault,3,3,0.0,15,14,7.1,56,55,1.8,14.3,40.0,-30.0 
Burglary,6,5,20.0,20,15,33.3,87,97,-10.3,29.9,20.8,-80.8 
Gr. Larceny,10,9,11.1,38,37,2.7,130,154,-15.6,-0.8,17.1,-40.4 
G.L.A.,0,2,-100.0,1,5,-80.0,22,24,-8.3,-42.1,-57.7,-96.0 
TOTAL,20,28,-28.57,92,98,-6.12,357,407,-12.29,4.69,6.89,-77.53 
Transit,0,0,***.*,0,2,-100.0,1,7,-85.7,-91.7,-83.3,***.* 
Housing,0,0,***.*,0,0,***.*,0,0,***.*,***.*,***.*,***.* 
Petit Larceny,20,17,17.6,66,60,10.0,221,228,-3.1,-7.9,-34.6,***.* 
Misd. Assault,4,5,-20.0,38,18,111.1,156,122,27.9,11.4,25.8,***.* 
Misd. Sex Crimes,1,0,***.*,1,1,0.0,7,10,-30.0,-53.3,-30.0,***.* 
Shooting Vic.,0,0,***.*,0,0,***.*,0,2,-100.0,-100.0,-100.0,-100.0 
Shooting Inc.,0,0,***.*,0,0,***.*,0,2,-100.0,-100.0,-100.0,-100.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,6,10,2,4,3,-25.0,50.0,-70.0,-50.0,Murder 
Rape,22,24,17,20,16,-20.0,-5.9,-33.3,-27.3,Rape 
Robbery,"1,069",753,332,300,235,-21.7,-29.2,-68.8,-78.0,Robbery 
Fel. Assault,355,303,271,193,181,-6.2,-33.2,-40.3,-49.0,Fel. Assault 
Burglary,"2,138","1,693",812,678,308,-54.6,-62.1,-81.8,-85.6,Burglary 
Gr. Larceny,"1,003",774,570,501,552,10.2,-3.2,-28.7,-45.0,Gr. Larceny 
G.L.A.,"3,495","1,830",903,511,110,-78.5,-87.8,-94.0,-96.9,G.L.A. 
TOTAL,"8,088","5,387","2,907","2,207","1,405",-36.34,-51.67,-73.92,-82.63,TOTAL
