Volume 21   Number  16,"",77th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,1,-100.0,1,2,-50.0,-50.0,-80.0,-95.8 
Rape,0,1,-100.0,3,1,200.0,8,6,33.3,33.3,300.0,-55.6 
Robbery,6,7,-14.3,28,24,16.7,80,117,-31.6,-16.7,1.3,-87.4 
Fel. Assault,6,1,500.0,23,16,43.8,104,91,14.3,36.8,60.0,-68.0 
Burglary,7,0,***.*,18,10,80.0,95,52,82.7,-14.4,21.8,-79.7 
Gr. Larceny,13,7,85.7,32,31,3.2,123,105,17.1,32.3,83.6,-29.3 
G.L.A.,5,1,400.0,9,9,0.0,37,28,32.1,37.0,27.6,-86.0 
TOTAL,37,17,117.65,113,92,22.83,448,401,11.72,9.00,37.85,-76.53 
Transit,3,1,200.0,4,3,33.3,12,11,9.1,-14.3,33.3,***.* 
Housing,2,0,***.*,11,3,266.7,40,30,33.3,25.0,100.0,***.* 
Petit Larceny,10,20,-50.0,56,74,-24.3,231,275,-16.0,-6.5,0.4,***.* 
Misd. Assault,15,21,-28.6,64,64,0.0,224,175,28.0,2.8,30.2,***.* 
Misd. Sex Crimes,0,1,-100.0,2,2,0.0,12,12,0.0,9.1,50.0,***.* 
Shooting Vic.,0,0,***.*,2,0,***.*,7,12,-41.7,-12.5,-56.2,-91.0 
Shooting Inc.,0,0,***.*,1,0,***.*,6,9,-33.3,-14.3,-60.0,-91.8
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,70,82,9,19,12,-36.8,33.3,-85.4,-82.9,Murder 
Rape,99,71,52,43,24,-44.2,-53.8,-66.2,-75.8,Rape 
Robbery,"2,412","2,202",772,487,395,-18.9,-48.8,-82.1,-83.6,Robbery 
Fel. Assault,"1,307","1,190",648,498,392,-21.3,-39.5,-67.1,-70.0,Fel. Assault 
Burglary,"2,130","1,582",722,575,307,-46.6,-57.5,-80.6,-85.6,Burglary 
Gr. Larceny,705,599,346,387,551,42.4,59.2,-8.0,-21.8,Gr. Larceny 
G.L.A.,"1,242",774,291,347,111,-68.0,-61.9,-85.7,-91.1,G.L.A. 
TOTAL,"7,965","6,500","2,840","2,356","1,792",-23.94,-36.90,-72.43,-77.50,TOTAL
