Volume 21   Number  16,"",40th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,0,1,-100.0,2,2,0.0,-66.7,100.0,-91.3 
Rape,1,0,***.*,3,1,200.0,7,7,0.0,75.0,75.0,-61.1 
Robbery,12,8,50.0,32,28,14.3,115,120,-4.2,-9.4,-5.7,-79.1 
Fel. Assault,5,16,-68.8,34,41,-17.1,119,126,-5.6,-3.3,9.2,-60.1 
Burglary,2,6,-66.7,9,21,-57.1,37,45,-17.8,-17.8,-51.3,-90.8 
Gr. Larceny,9,8,12.5,32,34,-5.9,123,143,-14.0,21.8,46.4,-33.2 
G.L.A.,2,2,0.0,8,7,14.3,28,26,7.7,33.3,-33.3,-86.5 
TOTAL,31,40,-22.50,118,133,-11.28,431,469,-8.10,0.94,-1.60,-74.41 
Transit,2,2,0.0,4,6,-33.3,9,26,-65.4,-67.9,-52.6,***.* 
Housing,5,8,-37.5,21,29,-27.6,76,84,-9.5,0.0,4.1,***.* 
Petit Larceny,34,26,30.8,120,117,2.6,434,426,1.9,-18.6,18.9,***.* 
Misd. Assault,13,20,-35.0,84,99,-15.2,351,320,9.7,-9.1,11.8,***.* 
Misd. Sex Crimes,4,0,***.*,8,3,166.7,20,17,17.6,122.2,-16.7,***.* 
Shooting Vic.,0,1,-100.0,3,6,-50.0,7,10,-30.0,-66.7,-41.7,-86.8 
Shooting Inc.,0,1,-100.0,3,5,-40.0,7,9,-22.2,-61.1,-41.7,-84.8
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,72,70,15,27,8,-70.4,-46.7,-88.6,-88.9,Murder 
Rape,81,80,60,46,25,-45.7,-58.3,-68.8,-69.1,Rape 
Robbery,"2,162","1,908",793,577,454,-21.3,-42.7,-76.2,-79.0,Robbery 
Fel. Assault,"1,165","1,082",673,484,511,5.6,-24.1,-52.8,-56.1,Fel. Assault 
Burglary,"1,374","1,364",530,317,213,-32.8,-59.8,-84.4,-84.5,Burglary 
Gr. Larceny,"1,206",766,451,376,586,55.9,29.9,-23.5,-51.4,Gr. Larceny 
G.L.A.,"1,172",653,270,293,105,-64.2,-61.1,-83.9,-91.0,G.L.A. 
TOTAL,"7,232","5,923","2,792","2,120","1,902",-10.28,-31.88,-67.89,-73.70,TOTAL
