Volume 21   Number  16,"",60th Precinct 
"",Report Covering the Week  4/14/2014  Through  4/20/2014,""
"",Week to Date,"","",      28 Day,"","",      Year to Date*,"",     2Year   5Year     21Year,"","",""
"",2014,2013,% Chg,2014,2013,% Chg,2014,2013,% Chg,% Chg,% Chg ,% Chg 
"","","","","","","","","","","",(2009) ,(1993) 
Murder,0,0,***.*,2,0,***.*,2,3,-33.3,100.0,-60.0,-75.0 
Rape,0,0,***.*,1,0,***.*,7,1,600.0,0.0,40.0,0.0 
Robbery,4,5,-20.0,13,21,-38.1,59,89,-33.7,0.0,0.0,-80.7 
Fel. Assault,4,1,300.0,19,14,35.7,84,61,37.7,25.4,52.7,-60.9 
Burglary,2,1,100.0,11,9,22.2,45,58,-22.4,-35.7,55.2,-85.5 
Gr. Larceny,5,8,-37.5,24,30,-20.0,115,109,5.5,-8.0,-5.7,-29.0 
G.L.A.,1,2,-50.0,3,4,-25.0,22,15,46.7,10.0,-24.1,-93.4 
TOTAL,16,17,-5.88,73,78,-6.41,334,336,-0.60,-4.30,9.87,-75.06 
Transit,1,0,***.*,2,0,***.*,9,14,-35.7,50.0,125.0,***.* 
Housing,2,3,-33.3,13,11,18.2,56,48,16.7,19.1,69.7,***.* 
Petit Larceny,24,15,60.0,58,50,16.0,210,235,-10.6,-20.2,-28.1,***.* 
Misd. Assault,14,13,7.7,42,47,-10.6,153,152,0.7,-14.5,16.8,***.* 
Misd. Sex Crimes,1,1,0.0,3,3,0.0,14,8,75.0,-33.3,0.0,***.* 
Shooting Vic.,0,0,***.*,0,2,-100.0,4,14,-71.4,-50.0,-60.0,-83.3 
Shooting Inc.,0,0,***.*,0,2,-100.0,4,9,-55.6,-42.9,-50.0,-80.0
"","","","",Historical Perspective ,"","","","","",""
"","","",(Historical perspective is a complete calendar year of data.) ,"","","","","","",""
"",1990,1993,1998,2001,2013,%Chg  '13 vs '01 %Chg  ,%Chg  '13 vs '98 %Chg  ,%Chg  '13 vs '93 %Chg  ,%Chg  '13 vs '90 %Chg  ,""
Murder,21,20,16,11,8,-27.3,-50.0,-60.0,-61.9,Murder 
Rape,52,42,45,27,18,-33.3,-60.0,-57.1,-65.4,Rape 
Robbery,"1,368","1,074",554,462,309,-33.1,-44.2,-71.2,-77.4,Robbery 
Fel. Assault,791,735,572,312,283,-9.3,-50.5,-61.5,-64.2,Fel. Assault 
Burglary,"1,078",993,481,302,214,-29.1,-55.5,-78.4,-80.1,Burglary 
Gr. Larceny,803,691,605,436,523,20.0,-13.6,-24.3,-34.9,Gr. Larceny 
G.L.A.,"2,033","1,174",493,262,66,-74.8,-86.6,-94.4,-96.8,G.L.A. 
TOTAL,"6,146","4,729","2,766","1,812","1,421",-21.58,-48.63,-69.95,-76.88,TOTAL
